candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
S6RI00163,C00238907,REED COMMITTEE; THE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,166551.00,,,42514.00,1795177.00,,15295.00,,22125.00,4800.00,,,
S4NC00089,C00385526,RICHARD BURR COMMITTEE; THE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,343133.00,,,1721396.00,3770540.00,,465500.00,596874.00,571840.00,81968.00,,,
S0MA00042,C00355784,ROBINSON COMMITTEE LLC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,,,576182.00,,510.00,,,,,,,,
S4SD00049,C00532465,ROUNDS FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,56811.00,,30320.00,43847.00,3708.00,,9500.00,,32650.00,550.00,,,
S4NJ00201,C00545939,RUSH HOLT FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,,,,,3299.00,,,,,,,,
H6MS01214,C00573535,SAM ADCOCK FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-23,2015-06-30,181170.31,40000.00,160000.00,75198.96,11291.90,,1000.00,,32773.96,1425.00,,40000.00,
H2GA02031,C00266940,SANFORD BISHOP FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,81928.05,,,106400.00,132114.71,,72500.00,,33550.00,350.00,,,
S2NM00088,C00434563,MARTIN HEINRICH FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,56243.00,,,222764.00,669154.00,,52550.00,,155784.00,14160.00,,,
H4FL22086,C00553388,MCGEE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,45.00,,7268.77,,-826.23,,,,,,,,
H4MI08135,C00561001,MIKE BISHOP FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,73727.90,,31871.92,160868.42,228477.82,,68500.00,1500.00,84475.00,6393.42,,,
S6MO00362,C00572925,MISSOURIANS FOR KANDER,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,327931.00,,,735208.00,1107378.00,,77150.00,,565950.00,92094.00,,,
S0KS00091,C00458315,MORAN FOR KANSAS,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,302562.00,,52462.00,914183.00,2349899.00,,397000.00,50903.00,434674.00,31449.00,,,
H4FL21054,C00539973,MOREL FOR CONGRESS INC,Termination report,2016,House,Principal Committee of Candidate,2015-07-01,2015-07-17,,,41963.55,11.00,,,,,,,11.00,,
S0FL00353,C00459883,THORPE FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,500.00,,4987.00,500.00,2591.00,,500.00,,,,,,
,C00553115,FREE ENTERPRISE LEADERSHIP INITIATIVE,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,613.02,,,,,,,,
,C00508556,NEW INDEPENDENT PARTY,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,239.00,,,,,,,,
,C00544544,NEW REPUBLICAN.ORG,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,77500.00,,33338.16,,17694.05,,,,,,,,
,C00571034,STUDENT DEBT REFORM PAC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,192.15,,,46.00,118.32,,,,,46.00,,,
,C00473918,WOMEN VOTE!,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,25131.24,,,242575.14,701989.23,,20000.00,,201250.00,315.00,,,
,C00040279,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,81531.75,,,110788.15,259880.27,,,,74169.97,36243.18,,,
S4VA00163,C00555953,TONY DETORA FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,,,9200.00,,176.00,,,,,,,,
S8CO00172,C00331439,UDALL FOR COLORADO,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,33686.00,,,1021.00,60378.00,,,,,,,,
H2FL09111,C00515288,VOTE FOR MIKE NIEVES POLITICAL COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,,,,,,,,,,,,,
H6KY03124,C00419630,YARMUTH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,68525.61,,132262.40,48482.80,412353.00,,35500.00,,7750.00,5150.00,,,
,C00563163,DETROIT FORWARD-FEDERAL,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,,,,,50.00,,,,,,,,
,C00528455,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES FEDERAL SPEECH PAC,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,40.13,,,15000.00,218503.40,,,,,,,,
,C00508317,LEADERS FOR FAMILIES SUPER PAC INC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,175.00,,5260.06,,,,,,,,
,C00557355,OCEAN MAJORITY PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,22.00,,,24.00,118.00,,,,,,,,
S8NM00184,C00329896,UDALL FOR US ALL,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,149590.00,,24975.00,146977.00,62654.00,,27500.00,,72653.00,36666.00,,,
,C00563981,FORWARD MASSACHUSETTS,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-03-04,5672.82,,,,,,,,,,,,
,C00554733,MARCH FOR TERM LIMITS,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,67.43,,,,,,,,
,C00507707,RESTORING AMERICA'S TRADITIONS PAC (RATPAC),Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,4882.99,,16695.77,4538.85,2530.65,,,,,,,,
,C00501106,ALCOA INC. EMPLOYEES' VOLUNTARY FEDERAL POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,1000.00,,,3989.93,6919.69,,,,3624.93,365.00,,,
,C00552679,ALCOA INC. EMPLOYEES' VOLUNTARY STATE AND FEDERAL POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,6806.00,,,13312.79,77174.35,,,,10619.84,2692.95,,,
,C00358903,AMERICAN ASSOCIATION OF NURSE PRACTITIONERS POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,111848.25,,,168248.50,399868.31,,,,162183.50,6065.00,,,
,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,226506.95,,,101282.19,1152967.14,,,81500.00,15608.83,4034.37,,,
,C00431957,AMERICAN HERBAL PRODUCTS ASSOCIATION PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,250.00,7317.96,,,,250.00,,,,
,C00106146,AMERICAN HOSPITAL ASSOCIATION PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,73971.19,,,142581.27,2344802.41,,,15500.00,91062.19,35297.61,,,
,C00141697,ALLEGHENY TECHNOLOGIES INCORPORATED POLITICAL ACTION COMMITTEE (AT-PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,17000.00,,,23319.96,33347.91,,,,20839.96,2480.00,,,
,C00147066,AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,107500.00,,,98121.02,573705.80,,47500.00,,49026.88,1594.14,,,
,C00196246,AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,68085.56,,,11724.16,235937.48,,,,8664.86,3059.30,,,
,C00173153,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED FUND (CRNA-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,44000.00,,,15205.17,364524.45,,,,8928.49,5526.35,,,
,C00374363,AMERICAN FOREIGN SERVICE ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,1871.97,,,,63781.30,,,,,,,,
,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,33519.64,,,33178.20,132792.46,,21500.00,,11462.70,215.50,,,
,C00423228,AMERICAN GASTROENTEROLOGICAL ASSOCIATION INC. PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,11500.00,,,9470.00,40663.01,,,,7825.00,1645.00,,,
,C00340075,BASF CORPORATION EMPLOYEES POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,55026.73,,,55588.76,1106648.42,,,,53081.37,2507.39,,,
,C00093096,BASIC AMERICAN INC POLITICAL ACTION COMMITTEE DBA BASIC AMERICAN FOODS PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,7563.93,,,,,,,,
,C00035519,"BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC.   ( PNC PAC)",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,88756.00,,,35760.21,29849.87,,,,20089.24,15670.97,,,
,C00253153,"BLOOMIN' BRANDS, INC. POLITICAL ACTION COMMITTEE",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,22446.76,,,30440.28,365598.44,,,,9908.03,20532.25,,,
,C00235655,BLUEGRASS COMMITTEE,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,235398.91,,,287975.11,175919.58,,176000.00,93341.17,18600.00,,,,
,C00429712,BRICK INDUSTRY ASSOCIATION'S BRICK PAC FOR A STRONGER AMERICA (BRICK PAC),Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-06-30,,,,3206.48,28073.97,,,,1750.00,1450.00,,,
,C00405050,BRINGING EVERYONE TOGETHER THROUGH ADVOCACY,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,3253.77,,,17500.00,16527.35,,,,17500.00,,,,
,C00035675,BRISTOL-MYERS SQUIBB CO. EMPLOYEE POLITICAL ADVOCACY FUND FOR INNOVATION,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,43141.30,,,21494.56,131229.49,,,,19566.86,1927.70,,,
,C00319368,"COLLECTIVE BRANDS, INC. POLITICAL ACTION COMMITTEE",Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,,,,,658.69,,,,,,,,
,C00012880,AMERICAN PHYSICAL THERAPY ASSOCIATION PHYSICAL THERAPY POLITICAL ACTION COMMITTEE (PT-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,108250.00,,,69161.85,360898.71,,,,35577.44,32029.27,,,
,C00041061,AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,2045.00,,,6200.00,39696.89,,,,6000.00,200.00,,,
,C00008839,AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,18500.00,,,18431.00,490739.85,,,,8427.00,10004.00,,,
,C00245530,AMERICAN SOCIETY OF HEALTH SYSTEM PHARMACIST - PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,3000.00,,,9922.85,90184.54,,,,4625.00,5297.85,,,
,C00543835,AMPHASTAR PHARMACEUTICALS INC POLITICAL ACTION COMMITTEE (AMPHASTAR PAC),Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,4200.00,,,786.00,35979.00,,,,746.00,40.00,,,
,C00370023,ANALYTICAL GRAPHICS INC PAC (AGI PAC),Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,1500.00,,,108.90,839.48,,,,88.90,20.00,,,
,C00555367,ASHTON WOODS CORP. HOMES PAC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,185.46,3022.49,,,,91.68,93.78,,,
,C00446393,ASSOCIATION OF NUTRITION & FOODSERVICE PROFESSIONALS POLITICAL ACTION COMMITTEE/ANFP PAC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,75.00,3546.01,,,,,75.00,,,
,C00233056,AUTOZONE INC COMMITTEE FOR BETTER GOVERNMENT,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,35850.00,,,34428.96,86216.70,,,,23721.00,10707.96,,,
,C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,217567.45,,,137414.87,330004.79,,,,124382.69,13032.18,,,
,C00260893,CARPENTERS FEDERAL PAC OF PHILADELPHIA METROPOLITAN REGIONAL COUNCIL OF CARPENTERS,Monthly,2016,PAC,Unauthorized,2015-03-01,2015-03-31,,,,,15042.35,,,,,,,,
,C00397851,CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,26600.00,,,42662.51,648075.68,,,,36192.97,6469.54,,,
,C00385609,CHEMTURA CORPORATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,11213.00,,,1992.00,5493.03,,,,1862.00,130.00,,,
,C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,98500.00,,,39738.20,49840.35,,,,31479.80,8245.18,,,
,C00379420,CIT GROUP INC PAC (CIT PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,30500.00,,,11736.42,108971.14,,,,10756.35,980.07,,,
,C00043992,"CITIZENS FOR GLOBAL SOLUTIONS, INC. POLITICAL ACTION COMMITTEE -- GLOBAL SOLUTIONS PAC",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,111.16,,,292.11,276.11,,,,,182.00,,,
,C00491654,CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,84671.95,,,66198.22,58390.89,,58916.93,,5000.00,,,,
,C00075473,CMS ENERGY CORPORATION EMPLOYEES FOR BETTER GOVERNMENT- FEDERAL,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,-2000.00,,,13016.01,23275.31,,,,5855.24,7160.77,,,
,C00524330,COALITION FOR HEALTHCARE FINANCE POLITICAL ACTION COMMITTEE (CHFPAC),Monthly,2016,PAC,Unauthorized,2015-02-01,2015-02-28,1500.00,,,,10750.00,,,,,,,,
,C00109819,"COALPAC, A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,13594.74,,,11499.25,24536.88,,5000.00,,5537.32,116.66,,,
,C00347989,COCA-COLA BOTTLING COMPANY UNITED INC. COMMITTEE FOR GOOD GOVERNMENT,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,1500.00,,,12000.00,47040.00,,,,12000.00,,,,
,C00106435,BUILDING OWNERS AND MANAGERS ASSOICATION INTERNATIONAL POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,281.85,,,8042.81,80888.70,,,,1936.00,6010.00,,,
,C00001727,BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE,Monthly,2016,Hybrid super PAC,Unauthorized,2015-02-01,2015-02-28,2616.77,,,6550.07,17022.31,,,,6000.00,550.00,,,
,C00371062,CAITHNESS CORPORATION PAC,Monthly,2016,PAC,Unauthorized,2015-01-01,2015-01-31,,,,,27699.60,,,,,,,,
,C00129742,CALIFORNIA BEET GROWERS ASSOCIATION LTD POLITICAL ACTION COMMITTEE (CAL SUGAR BEET PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,4500.00,,,,7479.00,,,,,,,,
,C00250464,CALIFORNIA COTTON GROWERS ASSN PAC - FEDERAL,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,4700.00,,,784.22,5036.63,,,,,784.00,,,
,C00389429,CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CPCC-PAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,6751.69,,5111.00,39118.00,55652.50,,,,38868.00,250.00,,,
,C00415166,CAMPBELL SOUP COMPANY PAC CAMPBELL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,9500.00,,,2639.92,24529.54,,,,1298.34,1341.58,,,
,C00461574,CAREER EDUCATION CORPORATION PAC (CEC PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,,,,1092.00,41267.42,,,,180.00,912.00,,,
,C00072967,"COMMERCE BANCSHARES, INC., PAC",Monthly,2016,PAC,Unauthorized,2015-05-01,2015-05-31,5000.00,,,4106.39,83378.22,,,,1163.85,2942.54,,,
,C00072967,"COMMERCE BANCSHARES, INC., PAC",Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,9900.00,,,4083.39,77561.61,,,,1163.85,2919.54,,,
,C00427286,"COMMERCE, HOPE, INNOVATION & PROGRESS PAC",Termination report,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,,,,,,,,,,,,,
,C00451609,COMMITTED TO WIN PAC,Quarterly,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,,,,,5655.45,,,,,,,,
,C00370122,COMMITTEE FOR A DEMOCRATIC FUTURE,Monthly,2016,PAC,Leadership PAC,2015-03-01,2015-03-31,6276.70,,,20000.00,15226.70,,,,20000.00,,,,
,C00370122,COMMITTEE FOR A DEMOCRATIC FUTURE,Monthly,2016,PAC,Leadership PAC,2015-05-01,2015-05-31,10965.12,,,2700.00,2116.82,,,,2700.00,,,,
,C00323352,COMMITTEE FOR A LIVABLE FUTURE,Monthly,2016,PAC,Leadership PAC,2015-05-01,2015-05-31,767.53,,,760.00,18433.70,,,,750.00,10.00,,,
,C00323352,COMMITTEE FOR A LIVABLE FUTURE,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,0.40,,,2010.00,20443.30,,2000.00,,,10.00,,,
,C00196824,COMMITTEE FOR PROGRESSIVE CONGRESS,Monthly,2016,PAC,Leadership PAC,2015-03-01,2015-03-31,,,,,19276.08,,,,,,,,
,C00196824,COMMITTEE FOR PROGRESSIVE CONGRESS,Monthly,2016,PAC,Leadership PAC,2015-06-01,2015-06-30,,,,,19276.08,,,,,,,,
,C00362236,COMMITTEE FOR SOUTHWEST VIRGINIA,Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-06-30,435.77,,,10739.07,268479.10,,5000.00,,,,,,
,C00332973,COMMITTEE FOR THE ADVANCEMENT OF LOUISIANA AGRICULTURE (CALA),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,250.00,,,4075.00,16351.00,,,,,4075.00,,,
,C00332973,COMMITTEE FOR THE ADVANCEMENT OF LOUISIANA AGRICULTURE (CALA),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,16351.00,,,,,,,,
,C00274944,COLLEGE OF AMERICAN PATHOLOGISTS POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,31200.90,,,41362.00,486570.34,,,,38700.00,2662.00,,,
,C00541912,COLORADO CORN GROWERS ASSOCIATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,5.98,11994.81,,,,,,,,
,C00428557,COLOROFCHANGE.ORG PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,2.40,,,60.00,8349.28,,,,,60.00,,,
,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,94136.92,,,251201.39,1281191.77,,,,143398.05,107803.34,,,
,C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,290200.00,,,173187.33,1164179.10,,,,91946.85,81240.48,,,
,C00393173,COMERICA INC. PAC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,8000.00,,,23079.74,554368.97,,,,11042.20,12037.54,,,
,C00359299,COMMITTEE FOR COMMON SENSE IN GOVERNMENT,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,2618.07,,,,,,,,
,C00569434,COLORADO SPRINGS CITIZENS FOR A CONGRESSMAN WHO WON'T CHICKEN OUT,Termination report,2016,PAC,Unauthorized,2015-01-01,2015-05-19,4701.78,,,4100.00,,,,,4100.00,,,,
,C00506618,DAIRYMANS FEDERAL POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,1093.75,,,136.47,3271.03,,,,,134.38,,,
,C00014019,COMMITTEE ORGANIZED FOR THE TRADING OF COTTON PAC OF THE AMERICAN COTTON SHIPPERS ASSOCIAT,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,6164.93,,,24820.00,47719.54,,,,16500.00,8320.00,,,
,C00542746,COMMON GOOD FUND,Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-06-30,226.50,,,2000.00,6928.68,,2000.00,,,,,,
,C00545996,COMMON WEALTH PAC,Quarterly,2016,Hybrid super PAC,Unauthorized,2015-01-01,2015-06-30,100.00,,,,,,,,,,,,
,C00455600,"COMMONWEALTH-ALTADIS, INC. EMPLOYEE PAC",Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-06-30,49100.00,,,32295.58,86101.05,,,,22014.67,10280.91,,,
,C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-04-30,220757.94,,,314777.57,3858883.73,,,,7599.04,292178.53,,,
,C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-05-01,2015-05-31,53342.09,,,285861.41,4091403.05,,,,20446.51,265414.90,,,
,C00163048,COMMUNITY ACTION PROGRAM - POLITICAL ACTION COMMITTEE (CAP-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,19502.40,,,26700.00,15504.68,,,,2011.00,24689.00,,,
,C00163048,COMMUNITY ACTION PROGRAM - POLITICAL ACTION COMMITTEE (CAP-PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,23991.86,,,28049.00,19561.82,,,,12801.00,15248.00,,,
,C00432534,COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,15000.00,,,25000.00,43280.62,,,,25000.00,,,,
,C00009704,CONSERVATIVE VICTORY FUND,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,6227.67,,,7885.41,38247.67,,,,6076.00,1805.00,,,
,C00040584,CONSUMER HEALTHCARE PRODUCTS ASSOCIATION PAC  (CHPA/PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,2047.50,,,7363.44,24255.10,,5000.00,,1833.36,530.08,,,
,C00492165,COMMITTEE TO STRENGTHEN AMERICA; THE,Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-06-30,16569.70,,,,67221.51,,,,,,,,
,C00498931,COMMONWEALTH PAC,Quarterly,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,6806.25,,,5000.00,24503.70,,5000.00,,,,,,
,C00002089,COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,48869.71,,,342050.03,3452579.95,,,,834.44,318247.72,,,
,C00147231,CROWLEY MARITIME CORPORATION FEDERAL PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,6587.35,,,3814.32,68112.09,,,,2939.32,875.00,,,
,C00436485,COMMITTEE ON PIPE AND TUBE IMPORTS FEDERAL PAC,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-06-30,8500.00,,,28250.00,41618.31,,2500.00,,25750.00,,,,
,C00491142,COMMON SENSE DEMOCRAT PAC,Quarterly,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,,,,,17850.00,,,,,,,,
,C00446948,ENGINEERING AND SOFTWARE SYSTEMS SOLUTIONS INC PAC/ES3 PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,,,,,46070.00,,,,,,,,
,C00363879,ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,88292.48,,,49149.91,414063.12,,,,39377.85,9772.06,,,
,C00219642,"ENTERPRISE HOLDINGS, INC. POLITICAL ACTION COMMITTEE",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,144000.37,,,150802.59,1169550.62,,,,114810.56,35923.41,,,
,C00132282,EQUIPMENT LEASING AND FINANCE ASSN PAC (LEASEPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,7000.00,,,10130.52,203242.91,,2500.00,,6350.00,1280.52,,,
,C00394452,EXCHANGE CONTRACTORS PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,9723.57,,1668.75,1511.79,23357.21,,,,500.00,,,,
,C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC PAC - FED)",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,35500.00,,,7956.96,52968.55,,,,6532.58,1424.38,,,
,C00296624,FLORIDA CRYSTALS CORPORATION PAC (FLORIDA CRYSTALS PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,,,,,3162.94,,,,,,,,
,C00105338,"FOLEY & LARDNER POLITICAL FUND, INC.",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,4608.98,,,4396.00,56422.28,,,,3640.00,756.00,,,
